StructureType,100,1000,10000,100000,1000000
dynamicList,2632,2632,2760,4948,26068
dynamicQueue,2632,2632,2888,5432,27328
dynamicStack,2636,2636,2892,5440,27332
staticList,2636,2636,2828,5040,26128
staticQueue,2636,2636,2828,5040,26152
staticStack,2636,2636,2828,5016,26152
