StructureType,100,1000,10000,100000,1000000
dynamicList,0.00001579,0.00016587,0.00233613,0.02730345,0.29218012
dynamicQueue,0.00002137,0.00023714,0.00283233,0.05118321,0.34728220
dynamicStack,0.00004023,0.00023488,0.00301642,0.03452612,0.36528550
staticList,0.00001545,0.00017132,0.00233453,0.03004260,0.34118335
staticQueue,0.00001595,0.00017833,0.00231930,0.02916965,0.34502794
staticStack,0.00001468,0.00017102,0.00227375,0.02842455,0.33520503
