StructureType,100,1000,10000,100000,1000000
dynamicList,3844,11908,11908,12036,29060
dynamicQueue,11908,11908,12036,13828,36844
dynamicStack,4100,11908,12036,13572,36460
staticList,11816,11908,12036,13572,29164
staticQueue,11908,11908,12036,13828,28388
staticStack,11908,11908,12036,13828,36588
